id,menu_id,page_number,image_id,full_height,full_width,uuid
44325,26315,10.0,4000000226,2591.0,1868.0,510d47db-69b9-a3d9-e040-e00a18064a99
44326,26316,2.0,4000000749,3157.0,2554.0,510d47db-1cf2-a3d9-e040-e00a18064a99
44327,26316,1.0,474308,1908.0,1529.0,510d47db-1cf3-a3d9-e040-e00a18064a99
44336,26319,2.0,4000006658,3003.0,2037.0,510d47db-3a6d-a3d9-e040-e00a18064a99
44337,26319,3.0,4000006659,3021.0,2051.0,510d47db-3a6e-a3d9-e040-e00a18064a99
44338,26319,4.0,4000006660,3052.0,2032.0,510d47db-3a6f-a3d9-e040-e00a18064a99
44339,26319,5.0,4000006661,3010.0,2046.0,510d47db-3a70-a3d9-e040-e00a18064a99
44340,26319,6.0,4000006662,3038.0,1995.0,510d47db-3a71-a3d9-e040-e00a18064a99
44341,26319,7.0,4000006663,3024.0,2045.0,510d47db-3a72-a3d9-e040-e00a18064a99
44342,26319,8.0,4000006664,3020.0,2058.0,510d47db-3a73-a3d9-e040-e00a18064a99
44343,26319,9.0,4000006665,3029.0,2035.0,510d47db-3a74-a3d9-e040-e00a18064a99
44344,26319,10.0,4000006666,3016.0,2035.0,510d47db-3a75-a3d9-e040-e00a18064a99
44345,26319,11.0,4000006667,2974.0,2031.0,510d47db-3a76-a3d9-e040-e00a18064a99
44346,26319,12.0,4000006668,3042.0,2250.0,510d47db-3a77-a3d9-e040-e00a18064a99
44347,26319,1.0,468071,3029.0,2199.0,510d47db-3a78-a3d9-e040-e00a18064a99
44352,26322,2.0,4000015814,3102.0,2153.0,510d47db-7162-a3d9-e040-e00a18064a99
44353,26322,3.0,4000015815,3094.0,2165.0,510d47db-7163-a3d9-e040-e00a18064a99
44354,26322,4.0,4000015816,3129.0,2157.0,510d47db-7164-a3d9-e040-e00a18064a99
44355,26322,5.0,4000015817,3103.0,2225.0,510d47db-7165-a3d9-e040-e00a18064a99
44356,26322,6.0,4000015818,3142.0,2080.0,510d47db-7166-a3d9-e040-e00a18064a99
44357,26322,7.0,4000015819,3108.0,2088.0,510d47db-7167-a3d9-e040-e00a18064a99
44358,26322,8.0,4000015820,3116.0,2153.0,510d47db-7168-a3d9-e040-e00a18064a99
44359,26322,9.0,4000015821,3109.0,2196.0,510d47db-7169-a3d9-e040-e00a18064a99
44360,26322,10.0,4000015822,3089.0,2159.0,510d47db-716a-a3d9-e040-e00a18064a99
44361,26322,11.0,4000015823,3108.0,2183.0,510d47db-716b-a3d9-e040-e00a18064a99
44362,26322,12.0,4000015824,3106.0,2111.0,510d47db-716c-a3d9-e040-e00a18064a99
44363,26322,13.0,4000015825,3108.0,2175.0,510d47db-716d-a3d9-e040-e00a18064a99
44364,26322,14.0,4000015826,3082.0,2170.0,510d47db-716e-a3d9-e040-e00a18064a99
44365,26322,15.0,4000015827,3107.0,2183.0,510d47db-716f-a3d9-e040-e00a18064a99
44366,26322,16.0,4000015828,3116.0,2183.0,510d47db-7170-a3d9-e040-e00a18064a99
44367,26322,17.0,4000015829,3107.0,2179.0,510d47db-7171-a3d9-e040-e00a18064a99
44368,26322,18.0,4000015830,3112.0,2174.0,510d47db-7172-a3d9-e040-e00a18064a99
44369,26322,19.0,4000015831,3121.0,2183.0,510d47db-7173-a3d9-e040-e00a18064a99
44370,26322,20.0,4000015832,3090.0,2161.0,510d47db-7174-a3d9-e040-e00a18064a99
44371,26322,21.0,4000015833,3120.0,2161.0,510d47db-7175-a3d9-e040-e00a18064a99
44372,26322,22.0,4000015834,3103.0,2475.0,510d47db-7176-a3d9-e040-e00a18064a99
44373,26322,1.0,471943,3100.0,2484.0,510d47db-7177-a3d9-e040-e00a18064a99
44374,26323,2.0,4000001436,2831.0,1742.0,510d47db-207b-a3d9-e040-e00a18064a99
44375,26323,3.0,4000001437,2798.0,1715.0,510d47db-207c-a3d9-e040-e00a18064a99
44376,26323,4.0,4000001438,2829.0,1723.0,510d47db-207d-a3d9-e040-e00a18064a99
44377,26323,1.0,474576,2836.0,1761.0,510d47db-207e-a3d9-e040-e00a18064a99
44386,26328,2.0,4000003244,3545.0,2427.0,510d47db-296a-a3d9-e040-e00a18064a99
44387,26328,3.0,4000003245,3516.0,2437.0,510d47db-296b-a3d9-e040-e00a18064a99
44388,26328,4.0,4000003246,3519.0,2540.0,510d47db-296c-a3d9-e040-e00a18064a99
44389,26328,1.0,470318,3506.0,2551.0,510d47db-296d-a3d9-e040-e00a18064a99
44390,26329,2.0,4000006028,3349.0,2291.0,510d47db-36e3-a3d9-e040-e00a18064a99
44391,26329,1.0,467762,3375.0,2282.0,510d47db-36e4-a3d9-e040-e00a18064a99
44392,26330,2.0,4000007909,3839.0,2419.0,510d47db-4164-a3d9-e040-e00a18064a99
44393,26330,3.0,4000007910,3843.0,2500.0,510d47db-4165-a3d9-e040-e00a18064a99
44394,26330,4.0,4000007911,3824.0,2551.0,510d47db-4166-a3d9-e040-e00a18064a99
44395,26330,5.0,4000007912,3837.0,2501.0,510d47db-4167-a3d9-e040-e00a18064a99
44396,26330,6.0,4000007913,3833.0,2519.0,510d47db-4168-a3d9-e040-e00a18064a99
44397,26330,7.0,4000007914,3809.0,2409.0,510d47db-4169-a3d9-e040-e00a18064a99
44398,26330,8.0,4000007915,3885.0,2872.0,510d47db-416a-a3d9-e040-e00a18064a99
44399,26330,1.0,475626,3850.0,2901.0,510d47db-416b-a3d9-e040-e00a18064a99
44400,26331,2.0,4000001164,3598.0,2923.0,510d47db-1f30-a3d9-e040-e00a18064a99
44401,26331,3.0,4000001165,3555.0,2595.0,510d47db-1f31-a3d9-e040-e00a18064a99
44402,26331,4.0,4000001166,3602.0,2661.0,510d47db-1f32-a3d9-e040-e00a18064a99
44403,26331,1.0,474480,3601.0,2882.0,510d47db-1f33-a3d9-e040-e00a18064a99
44406,26333,2.0,4000013313,3400.0,2308.0,510d47db-6206-a3d9-e040-e00a18064a99
44407,26333,1.0,471143,3365.0,2306.0,510d47db-6207-a3d9-e040-e00a18064a99
44408,26334,2.0,4000022272,3327.0,2125.0,510d47db-90d4-a3d9-e040-e00a18064a99
44409,26334,3.0,4000022273,3344.0,2110.0,510d47db-90d5-a3d9-e040-e00a18064a99
44410,26334,4.0,4000022274,3344.0,2100.0,510d47db-90d6-a3d9-e040-e00a18064a99
44411,26334,5.0,4000022275,3305.0,2093.0,510d47db-90d7-a3d9-e040-e00a18064a99
44412,26334,6.0,4000022276,3304.0,2229.0,510d47db-90d8-a3d9-e040-e00a18064a99
44413,26334,1.0,473294,3314.0,2204.0,510d47db-90d9-a3d9-e040-e00a18064a99
44414,26335,2.0,4000021293,1788.0,2409.0,510d47db-8c0d-a3d9-e040-e00a18064a99
44415,26335,1.0,472975,2410.0,1815.0,510d47db-8c0e-a3d9-e040-e00a18064a99
44416,26336,2.0,4000020330,2923.0,1903.0,510d47db-873e-a3d9-e040-e00a18064a99
44417,26336,1.0,472634,2948.0,1890.0,510d47db-873f-a3d9-e040-e00a18064a99
44418,26338,1.0,2042013,5297.0,3765.0,a4958095-4556-074d-e040-e00a1806792c
44419,26338,2.0,2049162,5253.0,3640.0,a54b7c66-c364-8c09-e040-e00a18060630
44420,26338,3.0,2049163,5256.0,3633.0,a54b7c66-c365-8c09-e040-e00a18060630
44421,26338,4.0,2049164,5254.0,3037.0,a54b7c66-c366-8c09-e040-e00a18060630
44422,26338,5.0,2049165,5240.0,3332.0,a54b7c66-c367-8c09-e040-e00a18060630
